Number,Question,Human_answer
182,"I am trying to write unit tests for my transformations, so I am running: msbuild migrated-project.csproj /p:Configuration=Release /T:TransformWebConfig. This works for a new project I create in VS2010, but doesn't in this project. I'm assuming it's because it was originally a 2008 project. I know this is supposed to run in a webplatformbuild whatever, but what I'm trying to do, is just run the transform, so I can grab the transformed web.config, and run some unit tests to make sure the right values exist. I don't see TransformWebConfig referenced as a target in either project, so I'm not sure what I'm looking for. ","TransformWebConfig is referenced through Microsoft.WebApplication.targets, which references Microsoft.Web.Publishing.targets which contains the TransformWebConfig target you're after. I don't know what's the problem with your project without having a look at your project file. Do you mind to attach it? Might be worth to check whether the project references the version 10 of Visual Studio WebApplication target: &lt;Import Project=""$(MSBuildExtensionsPath32)\Microsoft\VisualStudio\v10.0\WebApplications\Microsoft.WebApplication.targets"" /&gt;) instead of: &lt;Import Project=""$(MSBuildExtensionsPath)\Microsoft\VisualStudio\v9.0\WebApplications\Microsoft.WebApplication.targets"" /&gt; "
183,Is the enum type signed or unsigned? Does the signedness of enums differ between: C/C99/ANSI C/C++/C++x/GNU C/ GNU C99? Thanks ,"An enum is guaranteed to be represented by an integer, but the actual type (and its signedness) is implementation-dependent. You can force an enumeration to be represented by a signed type by giving one of the enumerators a negative value: enum SignedEnum { a = -1 }; In C++0x, the underlying type of an enumeration can be explicitly specified: enum ShortEnum : short { a }; (C++0x also adds support for scoped enumerations) For completeness, I'll add that in The C Programming Language, 2nd ed., enumerators are specified as having type int (p. 215). K&amp;R is not the C standard, so that's not normative for ISO C compilers, but it does predate the ISO C standard, so it's at least interesting from a historical standpoint. "
184,"We have Xserver-less CentOS system for continuous integration. So no UI. I want to run selenium test cases on it. I am using new Alpha version of Selenium2 which has WebDriver integration. It starts and ends browser by its own. Now, How do I start that in background? Something similar is possible with Internet Explorer? I am able to run correctly on local machine. But it opens Firefox UI. ","Are you able to run a virtual frame buffer? That way, all the GUI programs can believe there's graphics happening, even if there's no actual screen. You may wish to search for the term ""headless"". One example. Another possibility may be to use Celerity - a ruby-based ""headless browser"". It uses the Watir interface (originally a competitor to selenium), which I understand to be merging with webdriver. "
185,"I have a NSMutableArray that holds a collection of UIViewControllers Amongst other properties and methods an instance of each of the viewControllers are placed in a parent view The user will place these objects individually when desired to. So essentially I use - (void)addSubview:(UIView *)view when a new view is added to the parent view controller. Because the UI is isometric it's made things a tad more complicated What I am trying to do is re-order the views based on their co-ordinate position, so items higher up the parent UIView frame is indexed lower then views lower in the parent UIview frame. And items that are on the left side of the view are positioned at a higher index to those on the right I think the solution may have to do with re-ordering the NSMutableArray but how can I compare the CGpoints? Do I need to compare the x and y separately? ","I've managed to resolve this, I did some reading on Key-Value Coding I created a property called itemY to store the view.frame.origin.y value. I created a method to re-assign the itemY with the current view.frame.origin.y value. Now the ViewController that stores the array of ViewControllers uses a instance NSSortDescriptor with the property itemY. A new NSArray is created using the NSSortDescriptor Now I loop through the new NSArray and carry out my logic "
186,"I see in a lot of the tutorials and how to pages, they use the following, or something similar ruby C:\test.rb Which would parse test.rb to the interpreter and ... execute the script. But how is this done on Windows? Ruby isn't a recognized internal command (as per the shell output)? I know how to do all these things on Linux, and its as simple as... alas Windows is completely confusing at times :) ",Your best bet is going to be to add the path to the Ruby executable to your Environment Variables: Right click on 'Computer' in Windows. Click 'Properties...' Select the 'Advanced' tab. Click 'Environment Variables' Find 'Path' in the list and click edit Add C:\Ruby\bin; (or wherever you installed Ruby to) to the end of the string 
187,"Does anyone know what is causing the sprite rollover to jump around It is I think more likely a photoshop question, but I am not completely sure. I hope to get an answer here anyway, since I think most webdesigners/programmers problably worked with photoshop also. This is what I want the rollover to do example 1 and this is my testpage (see the play button) I made the sprite with spriteme.com thanks, Richard ","I do not see anything jumping around. However, when I first open the page the Play button is missing (its style is set to display: none;). When I click stop it appears, and then disappears when I click play. This is due to it's inline ""display"" style being set to block and none. Is this your problem? Note: I tested in Chrome and FF. I debugged the CSS states using Firebug. "
188,"So I have a database with a few tables. The first table contains the user ID, first name and last name. The second table contains the user ID, interest ID, and interest rating. There is another table that has all of the interest ID's. For every interest ID (even when new ones are added), I need to make sure that each user has an entry for that interest ID (even if its blank, or has defaults). Will foreign keys help with this scenario? or will I need to use PHP to update each and every record when I add a new key? "," For every interest ID (even when new ones are added), I need to make sure that each user has an entry for that interest ID (even if its blank, or has defaults). It sounds like you need an OUTER JOIN (either LEFT or RIGHT) in one of your queries instead. For example, if you wanted to get the level of interest a particular person has for each interest: Assuming your tables look like this: users: user_id PK user user_interests: user_id PK FK interest_id PK FK interest_level interests: interest_id PK interest SELECT i.interest, ui.interest_level FROM interests i INNER JOIN user_interests ui USING (interest_id) LEFT JOIN users u USING (user_id) WHERE user_id = ? ? is a placeholder. Note that ui.interest_level will be null for interests with no data. "
189,What makes more sense? use one socket to send and receive data to/from a embedded hardware device use one socket to send data and separate socket to read data Communication is not very intensive but the important point is to receive data as fast as possible. Application works under Windows XP and up. ,"Sockets were designed for two way communication, so most likely the developers of the embedded device didn't design their system to work off two sockets. I have some experience working with embedded hardware and I've seen them work various ways: Device connects to your application and starts streaming data via UDP In this scenario I've seen up to three sockets in play. One TCP listening socket that accepts a connection from the embedded device. The embedded device then sends through some connection parameters, such as how quickly it's going to send you the data. The embedded device then starts streaming data via upd. Once you've received the data you send a message down a second upd socket to say ""I got that one"". The device then starts streaming the next bit of data (again via upd). This then continues ad infinitum. I've seen variations where the initial TCP connection is skipped and device just constantly stream data. Request/Response How many sockets you'll need here depends on who's making the initial connection, as that'll determine who needs the listening socket. Since you're making the initial connection, I'll use that. This is the more connection oriented scenario. Here you make a connection to the device and request some data, the device then sends you the response to that data. In this scenarioyou can only use one socket. As the device will respond to each request on the socket it was received. So to answer you question ""What makes more sense?"", it completely depends on the design of your embedded device. If it's responding on the same socket as you're requesting, the answer is simple as only one socket is possible. Streaming devices via upd should give better performance with two sockets, but again only if your device supports it. As for the second part of your question, ""to receive data as fast as possible."", that's easy go asynchronous. Here are some excellent blogs on asynchronous socket programming: .NET Sockets - Two Way - Single Client (C# Source Code - Included) .NET Sockets in Two Directions with Multiple Client Support (C# Source Code Included) If you're using a custom/third party protocol to communicate with the device you can't go wrong having a read through these either: How to Transfer Fixed Sized Data With Async Sockets Part 2: How to Transfer Variable Length Messages With Async Sockets "
190,"I saw this question Inject into private, package or public field or provide a setter? about how to manually inject into annotated private fields (The way is adding setters or through a constructor) But, the point is how do an application server (like glassfish, axis2, jboss, ...) is able to inject into a final private field (without adding setters or constructors to the user class)? Quoting the cited question: public SomeClass { @Inject private SomeResource resource; } Do they use a customized JVM (not the standard one) that allows to access private fields? Thanks ","It's a simple reflection ""trick"". It relies on the Field.setAccessible() method to force the member to be accessible programmatically: Set the accessible flag for this object to the indicated boolean value. A value of true indicates that the reflected object should suppress Java language access checking when it is used. A value of false indicates that the reflected object should enforce Java language access checks. The Reflection API is used to get a handle on the field, setAccessible() is called, and then it can be set by the injection framework. See an example here. No magic, no custom VM. "
191,"Let's say I have some_value = 23 I use the Integer's times method to loop. Inside the iteration, is there an easy way, without keeping a counter, to see what iteration the loop is currently in? ","Yes, just have your block accept an argument: some_value.times{ |index| puts index } #=&gt; 0 #=&gt; 1 #=&gt; 2 #=&gt; ... or some_value.times do |index| puts index end #=&gt; 0 #=&gt; 1 #=&gt; 2 #=&gt; ... "
192,"ObjectGetOptions options = new ObjectGetOptions(); ManagementPath p = new ManagementPath(""\\\\server01\\root"" + ""\\cimv2:Win32_Share""); // Make a connection to a remote computer. ManagementScope scope = new ManagementScope(""\\\\server01\\root\\cimv2""); scope.Connect(); // Create a ManagementClass object ManagementClass managementClass = new ManagementClass(scope, p, options); // Create ManagementBaseObjects for in and out parameters ManagementBaseObject inParams = managementClass.GetMethodParameters(""Create""); ManagementBaseObject outParams; // Set the input parameters //inParams[""Description""] = String.Empty; inParams[""Name""] = ""test""; inParams[""Path""] = @folderPath; inParams[""Type""] = 0x0; // Disk Drive // Invoke the method on the ManagementClass object outParams = managementClass.InvokeMethod(""Create"", inParams, null); // Check to see if the method invocation was successful if ((uint)(outParams.Properties[""ReturnValue""].Value) != 0) { throw new Exception(""Unable to share directory. Error code: "" + outParams.Properties[""ReturnValue""].Value); } } catch (Exception e) { MessageBox.Show(e.Message.ToString()); } } I am using the following code to set up a share, but I am always getting a return value of 9 which means invalid name. I am passing a string and have tried to use an explicit string and I still get error 9. I am creating the share remotely rather than on local machine however. I have tried to make sure I am connecting to the remote WMI provider, but I am not sure if I have been successful. Any suggestions from WMI gurus and others is greatly appreciated. ","Found the answer on another site. The folder path needs to be the local path to the machine the share is created on, not a UNC path like I was using. "
193,"I have a strange problem, I am trying to order the output of a set of records by a field called displayOrder. Now even though record A has a displayOrder of 2 and record B has a displayOrder of 1000, record B still shows up before record A. Here's my select statement: SELECT * FROM items ORDER BY displayOrder ASC It works fine until I have a record greater than 9, then 10, 11, 12, etc are seen as smaller than 2, 3, 4 because they start with the number 1. Any way to fox this? ",Because you choose wrong field type. Integers must be stored in the int type column. 
194,"At work, we just got a large number exotic cellular devices that need to be programmed. To do this, you plug in a standard home telephone and dial a series of numbers, with pauses between them. To me, this is a task that begs to be automated, and we've got one Linux desktop (a test Asterisk machine) with a modem on it. So, how can I automate this task? ","Simply send the necessary AT commands to your modem via the modem's corresponding /dev device, e.g. ATDT 12,456567,21 "
195,"I'm trying to use the jQuery get function to render the results of an HTML page in a div on my page. The result of the get function appears to be successful because the value of textStatus (in the following code block) is ""success"". The value of data, however, is always empty. $(document).ready(function() { $.get('http://www.google.com', function(data, textStatus){ $('#RSSContent').html(textStatus + ' ' + data); }); }); Any idea what I might be doing wrong? Note: The final code will query a GeoRSS feed, which I plan on transforming and rendering as HTML in the RSSContent div. I simply used http://www.google.com for testing purposes. ","You can't make an AJAX request to another domain like this. What you're running into is called the same origin policy. For security reasons, javascript isn't allowed to make a request like this (except in certain cases like JSONP). Imagine if my ad script in your page (via document.write or any XSS method) was able to copy your name and password fields and submit it to another domain in the background via AJAX...bad idea :) "
196,"Well i need some help here i don't know how to solve this problem. the function of the attribute is to determine if the function can be run... So what i need is the following: The consumer of the attribute should be able to determine if it can be executed. The owner of the attribute should be able to tell the consumer that now it can/can't be executed (like a event). It must have a simple syntax. This is what i have so far but it only implements point 1, 3. [AttributeUsage(AttributeTargets.Method, AllowMultiple = false)] public class ExecuteMethodAttribute : Attribute { private Func&lt;object, bool&gt; canExecute; public Func&lt;object, bool&gt; CanExecute { get { return canExecute; } } public ExecuteMethodAttribute() { } public ExecuteMethodAttribute(Func&lt;object, bool&gt; canExecute) { this.canExecute = canExecute; } } ","Attributes are not intended for this type of purpose. You decorate a Type with an attribute, not a specific instance. If you need a way to specify, to a consumer, that a specific method is ready to execute, or cannot execute, I would rethink your design. Instead of using an attribute, perhaps making a custom class would work much more appropriately. Given your design, I would recommend taking a look at the ICommand interface. This basically does exactly what you are trying to do. It encapsulates a delegate into a class, with a ""CanExecute"" method, and an event for notifying ""consumers"" that the execution availability has changed. This would be a more appropriate option. "
197,"I have two views that I would like to combine into one. The first view shows all items of X where company ID = Y. This is to give preferential sort to the client first, and then everyone else. So I created a second view, all items of X, where company ID != Y. I created it as an Attachment to attach to the first view, but I don't think I got the intended result. How can I combine these views so the first view results are listed first, and then the second view is too, using the same pager, filters, and arguments? Is there any way of achieving this without programming it? ","From a MySQL point of view, the order-by-field syntax would be the appropriate way to handle this. Example: SELECT * FROM tickets ORDER BY FIELD(priority, 'High', 'Normal', 'Low'); It would be great if there is a module that add this kind of functionality to Views, but AFAIK, it does not exist. If you want to solve this without programming, I think you can use the rules module to automatically set the 'sticky' checkbox on nodes where company ID = Y. With that in place, you can order the View on the sticky value. "
198,"I'm wanting to get a WCF-over-TCP service working. I was having some problems with modifying my own project, so I thought I'd start with the ""base"" WCF template included in VS2008. Here is the initial WCF App.config and when I run the service the WCF Test Client can work with it fine: &lt;?xml version=""1.0"" encoding=""utf-8"" ?&gt; &lt;configuration&gt; &lt;system.web&gt; &lt;compilation debug=""true"" /&gt; &lt;/system.web&gt; &lt;system.serviceModel&gt; &lt;services&gt; &lt;service name=""WcfTcpTest.Service1"" behaviorConfiguration=""WcfTcpTest.Service1Behavior""&gt; &lt;host&gt; &lt;baseAddresses&gt; &lt;add baseAddress=""http://localhost:8731/Design_Time_Addresses/WcfTcpTest/Service1/"" /&gt; &lt;/baseAddresses&gt; &lt;/host&gt; &lt;endpoint address="""" binding=""wsHttpBinding"" contract=""WcfTcpTest.IService1""&gt; &lt;identity&gt; &lt;dns value=""localhost""/&gt; &lt;/identity&gt; &lt;/endpoint&gt; &lt;endpoint address=""mex"" binding=""mexHttpBinding"" contract=""IMetadataExchange""/&gt; &lt;/service&gt; &lt;/services&gt; &lt;behaviors&gt; &lt;serviceBehaviors&gt; &lt;behavior name=""WcfTcpTest.Service1Behavior""&gt; &lt;serviceMetadata httpGetEnabled=""True""/&gt; &lt;serviceDebug includeExceptionDetailInFaults=""True"" /&gt; &lt;/behavior&gt; &lt;/serviceBehaviors&gt; &lt;/behaviors&gt; &lt;/system.serviceModel&gt; &lt;/configuration&gt; This works perfectly, no issues at all. I figured changing it from HTTP to TCP would be trivial: change the bindings to their TCP equivalents and remove the httpGetEnabled serviceMetadata element: &lt;?xml version=""1.0"" encoding=""utf-8"" ?&gt; &lt;configuration&gt; &lt;system.web&gt; &lt;compilation debug=""true"" /&gt; &lt;/system.web&gt; &lt;system.serviceModel&gt; &lt;services&gt; &lt;service name=""WcfTcpTest.Service1"" behaviorConfiguration=""WcfTcpTest.Service1Behavior""&gt; &lt;host&gt; &lt;baseAddresses&gt; &lt;add baseAddress=""net.tcp://localhost:1337/Service1/"" /&gt; &lt;/baseAddresses&gt; &lt;/host&gt; &lt;endpoint address="""" binding=""netTcpBinding"" contract=""WcfTcpTest.IService1""&gt; &lt;identity&gt; &lt;dns value=""localhost""/&gt; &lt;/identity&gt; &lt;/endpoint&gt; &lt;endpoint address=""mex"" binding=""mexTcpBinding"" contract=""IMetadataExchange""/&gt; &lt;/service&gt; &lt;/services&gt; &lt;behaviors&gt; &lt;serviceBehaviors&gt; &lt;behavior name=""WcfTcpTest.Service1Behavior""&gt; &lt;serviceDebug includeExceptionDetailInFaults=""True"" /&gt; &lt;/behavior&gt; &lt;/serviceBehaviors&gt; &lt;/behaviors&gt; &lt;/system.serviceModel&gt; &lt;/configuration&gt; But when I run this I get this error in the WCF Service Host: System.InvalidOperationException: The contract name 'IMetadataExchange' could not be found in the list of contracts implemented by the service Service1. Add a ServiceMetadataBehavior to the configuration file or to the ServiceHost directly to enable support for this contract. I get the feeling that you can't send metadata using TCP, but that's the case why is there a mexTcpBinding option? ","Well, if you want to have metadata - TCP or HTTP - you still need to include the serviceMetadata behavior! &lt;behaviors&gt; &lt;serviceBehaviors&gt; &lt;behavior name=""WcfTcpTest.Service1Behavior""&gt; &lt;serviceDebug includeExceptionDetailInFaults=""True"" /&gt; &lt;serviceMetadata /&gt; &lt;/behavior&gt; &lt;/serviceBehaviors&gt; &lt;/behaviors&gt; Sure, you can't have a ""HttpGetEnabled"" on it - but the behavior itself must be present in order to enable exchange of metadata (and thus the IMetadataExchange contract). "
199,"I am trying to assign salespeople (rsSalespeople) to customers (rsCustomers) in a round-robin fashion in the following manner: Navigate to first Customer, assign the first SalesPerson to the Customer. Move to Next Customer. If rsSalesPersons is not at EOF, move to Next SalesPerson; if rsSalesPersons is at EOF, MoveFirst to loop back to the first SalesPerson. Assign this (current) SalesPerson to the (current) Customer. Repeat step 2 until rsCustomers is at EOF (EOF = True, i.e. End-Of-Recordset). It's been awhile since I dealt with VBA, so I'm a bit rusty, but here is what I have come up with, so far: Private Sub Command31_Click() 'On Error GoTo ErrHandler Dim intCustomer As Integer Dim intSalesperson As Integer Dim rsCustomers As DAO.Recordset Dim rsSalespeople As DAO.Recordset Dim strSQL As String strSQL = ""SELECT CustomerID, SalespersonID FROM Customers WHERE SalespersonID Is Null"" Set rsCustomers = CurrentDb.OpenRecordset(strSQL) strSQL = ""SELECT SalespersonID FROM Salespeople"" Set rsSalespeople = CurrentDb.OpenRecordset(strSQL) rsCustomers.MoveFirst rsSalespeople.MoveFirst Do While Not rsCustomers.EOF intCustomer = rsCustomers!CustomerID intSalesperson = rsSalespeople!SalespersonID strSQL = ""UPDATE Customers SET SalespersonID = "" &amp; intSalesperson &amp; "" WHERE CustomerID = "" &amp; intCustomer DoCmd.RunSQL (strSQL) rsCustomers.MoveNext If Not rsSalespeople.EOF Then rsSalespeople.MoveNext Else rsSalespeople.MoveFirst End If Loop ExitHandler: Set rsCustomers = Nothing Set rsSalespeople = Nothing Exit Sub ErrHandler: MsgBox (Err.Description) Resume ExitHandler End Sub My tables are defined like so: Customers --CustomerID --Name --SalespersonID Salespeople --SalespersonID --Name With ten customers and 5 salespeople, my intended result would like like: CustomerID--Name--SalespersonID 1---A---1 2---B---2 3---C---3 4---D---4 5---E---5 6---F---1 7---G---2 8---H---3 9---I---4 10---J---5 The above code works for the intitial loop through the Salespeople recordset, but errors out when the end of the recordset is found. Regardless of the EOF, it appears it still tries to execute the rsSalespeople.MoveFirst command. Am I not checking for the rsSalespeople.EOF properly? Any ideas to get this code to work? ","rsSalespeople.EOF doesn't indicate when you are on the last row, it indicates when you are PAST the last row. So when your conditional hits the last salesperson EOF is false so it does a movenext (making EOF true) then the next pass through the loop is operating on the ""EOF row"" of rsSalespeople which you can't pull values from, hence the error. Try this instead: rsSalespeople.MoveNext If (rsSalespeople.EOF) Then rsSalespeople.MoveFirst End If "
200,"How can I give set foreign key value field in Entity Framework. I have Kartlar entity (related from kartlar table). I need simple save method this field but, RehberID, KAmpanyaId,BirimID is foregin Key.... public static class SatisServicesUpdateTables { public static void SaveKartlar(int RehberID, int KampanyaID, int BrimID) { using (GenSatisModuleEntities genSatisKampanyaCtx = new GenSatisModuleEntities()) { Kartlar kartlar = new Kartlar(); kartlar.RehberReference.EntityKey = new System.Data.EntityKey(""genSatisKampanyaCtx.Rehber"", ""ID"", RehberID); kartlar.KampanyaReference.EntityKey = new System.Data.EntityKey(""genSatisKampanyaCtx.Kampanya"", ""ID"", KampanyaID); kartlar.BirimReference.EntityKey = new System.Data.EntityKey(""genSatisKampanyaCtx.Birim"", ""ID"", BrimID); kartlar.Notlar = ""hfhfhfhfhfhfghfghfgfghk""; genSatisKampanyaCtx.AddToKartlar(kartlar); genSatisKampanyaCtx.SaveChanges(); } } } But it throws to me : ArgumentException was unhandled by user code link text ","The first parameter of your EntityKey should be your context name, not your varaible name: new System.Data.EntityKey(""GenSatisModuleEntities.Rehber"", ""ID"", RehberID); and Rehber should be the name of your EntitySet. "
201,"I really suck at Rails' finders besides the most obvious. I always resort to SQL when things get more advanced than Model.find(:all, :conditions =&gt; ['field&gt;? and field&lt;? and id in (select id from table)', 1,2]) I have this method: def self.get_first_validation_answer(id) a=find_by_sql("" select answers.*, answers_registrations.answer_text from answers_registrations left join answers on answers_registrations.answer_id=answers.id where (answers_registrations.question_id in (select id from questions where validation_question=true)) and (sale_registration_id=#{id}) limit 1 "").first a.answer_text || a.text if a end Can someone create a find method that gets me what I want? Regards, Jacob ","class AnswersRegistration &lt; ActiveRecord::Base has_many :answers end id = 123 the_reg = AnswersRegistration.first( :joins =&gt; :answers, :conditions =&gt; '(question_id in (select id from questions where validation_question = true)) and (sale_registration_id = ?)', id) (untested) "
202,"I have array like this: $path = array ( [0] =&gt; site\projects\terrace_and_balcony\mexico.jpg [1] =&gt; site\projects\terrace_and_balcony\new_york.jpg [2] =&gt; site\projects\terrace_and_balcony\berlin.jpg [3] =&gt; site\projects\terrace_and_balcony\Kentucky.jpg [4] =&gt; site\projects\terrace_and_balcony\Utah.jpg [5] =&gt; site\projects\terrace_and_balcony\Hawaii.jpg [6] =&gt; site\projects\private_gardens\mexico.jpg [7] =&gt; site\projects\private_gardens\new_york.jpg [8] =&gt; site\projects\private_gardens\berlin.jpg [9] =&gt; site\projects\private_gardens\Kentucky.jpg [10] =&gt; site\projects\private_gardens\Utah.jpg [11] =&gt; site\projects\private_gardens\Hawaii.jpg ) How to convert it to that: $path11 = array ( ""site""=&gt;array ( ""projects""=&gt;array ( ""terrace_and_balcony""=&gt;array ( ""mexico.jpg"", ""new_york.jpg"", ""berlin.jpg"", ""Kentucky.jpg"", ""Utah.jpg"", ""Hawaii.jpg"" ), ""private_gardens""=&gt;array ( ""mexico.jpg"", ""new_york.jpg"", ""berlin.jpg"", ""Kentucky.jpg"", ""Utah.jpg"", ""Hawaii.jpg"" ) ) ) ); ","$pathStrings = [ 'site\\projects\\terrace_and_balcony\\mexico.jpg', 'site\\projects\\terrace_and_balcony\\new_york.jpg', 'site\\projects\\terrace_and_balcony\\berlin.jpg', 'site\\projects\\terrace_and_balcony\\Kentucky.jpg', 'site\\projects\\terrace_and_balcony\\Utah.jpg', 'site\\projects\\terrace_and_balcony\\Hawaii.jpg', 'site\\projects\\private_gardens\\mexico.jpg', 'site\\projects\\private_gardens\\new_york.jpg', 'site\\projects\\private_gardens\\berlin.jpg', 'site\\projects\\private_gardens\\Kentucky.jpg', 'site\\projects\\private_gardens\\Utah.jpg', 'site\\projects\\private_gardens\\Hawaii.jpg' ]; $paths = []; foreach ($pathStrings as $pathString) { // Split by the delimiter. $pathParts = explode('\\', $pathString); // Build a nested assoc array representing the path. // Each key and value comes from the delimited parts of the string. // eg: site\projects\terrace_and_balcony\mexico.jpg // becomes: [ // 'site' =&gt; [ // 'projects' =&gt; [ // 'terrace_and_balcony' =&gt; [ // 'mexico.jpg' // ] // ] // ] // ] $path = [array_pop($pathParts)]; foreach (array_reverse($pathParts) as $pathPart) { $path = [$pathPart =&gt; $path]; } // Add it to a temp list. $paths[] = $path; } // Now, merge all the paths together recursively at once. $tree = call_user_func_array('array_merge_recursive', $paths); // Done. print_r($tree); Demo: http://sandbox.onlinephpfunctions.com/code/12c82c18625dda23682baac37b2a5a8310fb869d "
203,"I am attempting to obtain class-data associated with a mouse-clicked ImageButton; which ImageButton is located within a Scollviewer wrapped WrapPanel and filled with numerous other ImageButtons. The problem is that although I can see the instance of the ImageButton selected ""((PlanetClass)(fe))"", and have visibility of the class instance's underlying data ""((PlanetClass)(fe)).Content"", I am unable to access any of the class's field data. The example below illustrates my intention. Am I approaching this problem correctly (WrapPanel (wrapped in ScrollViewer)-> ImageButton-> FrameworkElement -> Instance of the Button -> Field Data)? If not, what would the best way be to access the ImageButton instance and the instance's associated data? Can anyone please point me in the right direction? // WPF EventHandler at the container level: &lt;ScrollViewer ButtonBase.Click=""SolarSystem_Click""&gt; // Handles the ImageButton mouseClick event within the ScrollViewer wrapping the WrapPanel. private void SolarSystem_Click(Object sender, RoutedEventArgs e) { FrameworkElement fe = e.OriginalSource as FrameworkElement; SelectedPlanet PlanetSelected = new SelectedPlanet(fe); MessageBox.Show(PlanetSelected.PlanetName); } // Used to initiate instance of ImageButton to access field data. public SelectedPlanet(FrameworkElement fe) { return ((PlanetClass)(fe)); } // Class Data public class PlanetClass { string planetName; public PlanetClass(string planetName) { PlanetName = planetName; } public string PlanetName { set { planetName = value; } get { return planetName; } } } "," TWO DAYS LATER and a lot of frustration: After scratching my head for two days on this issue, I figured out that to obtain the underlying data beneath a mouse-clicked ImageButton I needed to cast the FrameworkElement e.OriginalSource back to the original ImageButton to get to it's "".source"", and then cast the result to PlanetClass to get to it's properties. // WPF EventHandler placed at the container level. &lt;ScrollViewer ButtonBase.Click=""SolarSystemButton_Click""&gt; // Handles the ImageButton mouseClick event within the ScrollViewer wrapping the WrapPanel. private void SolarSystemButton_Click(Object sender, RoutedEventArgs e) { FrameworkElement fe = e.OriginalSource as FrameworkElement; string PlanetName = ((PlanetClass)((ImageButton)fe).Content).PlanetName; return PlanetName; } Bill "
204,"i need to get a query where the elements are displayed in case the first letter is E (the word is electronics).. i have tried with the following : mysql_query(""select * from nested_category where name like '[A-F]%'""); Edit : its like i need to choose all the elements for which the first element lie between A &amp; F .. I need all the element such as Elements, Capacitors, Elephant, Accelerators and definitely not Resistors.. I am using this query with PHP... ","WTF has A-F got to do with E? SELECT * FROM nested_category WHERE name LIKE 'E%' In response to your edit: Use the REGEXP function: SELECT * FROMnested_category WHERE name REGEXP '^[A-E]' And even still, you now say you want A-E, but your code says A-F? I'm really confused by your question... "
205,"I have a table which stores test results like this: user | score | time -----+-------+------ aaa | 90% | 10:30 bbb | 50% | 9:15 *** aaa | 85% | 10:15 aaa | 90% | 11:00 *** ... What I need is to get the top 10 users: user | score | time -----+-------+------ aaa | 90% | 11:00 bbb | 50% | 9:15 ... I've come up with the following SELECT: SELECT * FROM (SELECT user, score, time FROM tests_score ORDER BY user, score DESC, time DESC) t1 GROUP BY user ORDER BY score DESC, time LIMIT 10 It works fine but I'm not quite sure if my use of ORDER BY is the right way to pick the first row of each group of sorted records. Is there any better practice to achieve the same result? (I use MySQL 5) ","It seems like you want the score with the latest time. This query gets the most current score for each user and orders them by score. SELECT user, MAX(score), time FROM test_results tr LEFT OUTER JOIN test_results tr2 ON tr2.user = tr.user AND tr2.time &gt; tr.time WHERE tr2.user IS NULL GROUP BY user ORDER BY MAX(score) DESC, time If two scores are posted for the same time for the same user, the larger one is used. This only works if the score is an integer column, not a string column, since 5% comes before 60% alphabetically. "
206,"I have taken over some code that has been using the Firestorm DAO code generator from CodeFutures. I believe that the license for this is going to be up soon, and was wondering if anyone could recommend any alternatives, open source or not, so that I can get an idea of what's out there to better make a decision. ","One option would be to completely change directions and go with a persistence framework like JPA. You create your Java object model, add the appropriate annotations, and JPA handles everything else for you without any messy generated code. Granted, depending on the specifics of your architecture and business situation this kind of change might not be feasible for you. However if you can manage it, JPA seems to be much more in line with current best-practices for Java persistence. I've used OpenJPA in a production environment: http://openjpa.apache.org/ And we considered TopLink (Oracle's implementation) but ran into a few issues that I can't recall. http://www.oracle.com/technology/products/ias/toplink/index.html "
207,"I've implemented a messaging system over SQL Server Service Broker. It is working great, with the sole exception that every once in a while (maybe once per week per server) my initiator service just vanishes without a trace. The corresponding queue is still there, but the service is missing. Obviously this causes problems in my system. It's a simple matter to recreate the service by hand, but I'm confused as to what might cause this behavior. I understand that automatic poison message handling causes queues to be disabled, but I don't see anything that indicates services can be disabled or deleted automatically. When this happens, I usually have a large backlog of messages in multiple application queues, but nothing extreme. Total message backlog is around 200,000. Does anyone know what might be happening here? ","You must have a bug of some sort that issues a DROP SERVICE statement. That is the only way a service gets deleted. Check the default trace, the DROP statement gets traced and saved into it so you can track down the application/user/statement that issues the DROP. Check sys.traces to find the location of the default trace then open the .TRC file in Profiler. "
208,"I have a object with properties that are expensive to compute, so they are only calculated on first access and then cached. private List&lt;Note&gt; notes; public List&lt;Note&gt; Notes { get { if (this.notes == null) { this.notes = CalcNotes(); } return this.notes; } } I wonder, is there a better way to do this? Is it somehow possible to create a Cached Property or something like that in C#? ","As far as syntax goes, you can use the null-coalescing operator if you want to be fancy, but it's not necessarily as readable. get { return notes ?? (notes = CalcNotes()); } Edit: Updated courtesy of Matthew. Also, I think the other answers are more helpful to the question asker! "
